TIMESPAN,BLOCKCHAIN,MARKET_STATE,ACTIVE_USERS
2022-02-28,Ethereum,Current Bear,4700
2022-02-28,Arbitrum,Current Bear,118
2022-02-28,Optimism,Current Bear,96
2022-03-07,Optimism,Current Bear,123
2022-03-07,Arbitrum,Current Bear,109
2022-03-07,Ethereum,Current Bear,5068
2022-03-07,Polygon,Current Bear,1234
2022-03-14,Ethereum,Current Bear,5017
2022-03-14,Optimism,Current Bear,102
2022-03-14,Arbitrum,Current Bear,115
2022-03-14,Polygon,Current Bear,1456
2022-03-21,Ethereum,Current Bear,5350
2022-03-21,Arbitrum,Current Bear,129
2022-03-21,Polygon,Current Bear,1783
2022-03-21,Optimism,Current Bear,131
2022-03-28,Arbitrum,Current Bear,150
2022-03-28,Polygon,Current Bear,1989
2022-03-28,Optimism,Current Bear,178
2022-03-28,Ethereum,Current Bear,6709
2022-04-04,Optimism,Current Bear,169
2022-04-04,Ethereum,Current Bear,5449
2022-04-04,Polygon,Current Bear,1709
2022-04-04,Arbitrum,Current Bear,113
2022-04-11,Polygon,Current Bear,1822
2022-04-11,Arbitrum,Current Bear,114
2022-04-11,Ethereum,Current Bear,5157
2022-04-11,Optimism,Current Bear,176
2022-04-18,Polygon,Current Bear,2036
2022-04-18,Optimism,Current Bear,274
2022-04-18,Ethereum,Current Bear,5151
2022-04-18,Arbitrum,Current Bear,126
2022-04-25,Optimism,Current Bear,208
2022-04-25,Ethereum,Current Bear,5660
2022-04-25,Polygon,Current Bear,2246
2022-04-25,Arbitrum,Current Bear,122
2022-05-02,Arbitrum,Current Bear,165
2022-05-02,Ethereum,Current Bear,3532
2022-05-02,Optimism,Current Bear,243
2022-05-02,Polygon,Current Bear,2362
2022-05-09,Polygon,Current Bear,2440
2022-05-09,Optimism,Current Bear,244
2022-05-09,Ethereum,Current Bear,3452
2022-05-09,Arbitrum,Current Bear,141
2022-05-16,Optimism,Current Bear,184
2022-05-16,Polygon,Current Bear,2214
2022-05-16,Arbitrum,Current Bear,120
2022-05-16,Ethereum,Current Bear,3682
2022-05-23,Ethereum,Current Bear,3727
2022-05-23,Arbitrum,Current Bear,138
2022-05-23,Polygon,Current Bear,2269
2022-05-23,Optimism,Current Bear,212
2022-05-30,Polygon,Current Bear,2344
2022-05-30,Optimism,Current Bear,538
2022-05-30,Ethereum,Current Bear,3093
2022-05-30,Arbitrum,Current Bear,154
2022-06-06,Optimism,Current Bear,512
2022-06-06,Ethereum,Current Bear,3579
2022-06-06,Arbitrum,Current Bear,162
2022-06-06,Polygon,Current Bear,2451
2022-06-13,Ethereum,Current Bear,3648
2022-06-13,Optimism,Current Bear,418
2022-06-13,Polygon,Current Bear,3380
2022-06-13,Arbitrum,Current Bear,194
2022-06-20,Optimism,Current Bear,289
2022-06-20,Arbitrum,Current Bear,185
2022-06-20,Polygon,Current Bear,3120
2022-06-20,Ethereum,Current Bear,3297
2022-06-27,Ethereum,Current Bear,3453
2022-06-27,Polygon,Current Bear,2775
2022-06-27,Arbitrum,Current Bear,138
2022-06-27,Optimism,Current Bear,224
2022-07-04,Optimism,Current Bear,202
2022-07-04,Arbitrum,Current Bear,173
2022-07-04,Polygon,Current Bear,2617
2022-07-04,Ethereum,Current Bear,4611
2022-07-11,Ethereum,Current Bear,4655
2022-07-11,Optimism,Current Bear,271
2022-07-11,Arbitrum,Current Bear,232
2022-07-11,Polygon,Current Bear,2944
2022-07-18,Optimism,Current Bear,364
2022-07-18,Polygon,Current Bear,2862
2022-07-18,Ethereum,Current Bear,5462
2022-07-18,Arbitrum,Current Bear,221
2022-07-25,Ethereum,Current Bear,5722
2022-07-25,Polygon,Current Bear,2721
2022-07-25,Optimism,Current Bear,439
2022-07-25,Arbitrum,Current Bear,253
2022-08-01,Ethereum,Current Bear,5537
2022-08-01,Optimism,Current Bear,1326
2022-08-01,Arbitrum,Current Bear,286
2022-08-01,Polygon,Current Bear,2190
2022-08-08,Arbitrum,Current Bear,312
2022-08-08,Polygon,Current Bear,2798
2022-08-08,Ethereum,Current Bear,6816
2022-08-08,Optimism,Current Bear,524
2022-08-15,Ethereum,Current Bear,6069
2022-08-15,Polygon,Current Bear,3312
2022-08-15,Arbitrum,Current Bear,276
2022-08-15,Optimism,Current Bear,485
2022-08-22,Ethereum,Current Bear,6244
2022-08-22,Optimism,Current Bear,409
2022-08-22,Polygon,Current Bear,2766
2022-08-22,Arbitrum,Current Bear,354
2022-08-29,Optimism,Current Bear,409
2022-08-29,Arbitrum,Current Bear,368
2022-08-29,Ethereum,Current Bear,5905
2022-08-29,Polygon,Current Bear,2484
2022-09-05,Polygon,Current Bear,2573
2022-09-05,Ethereum,Current Bear,6535
2022-09-05,Optimism,Current Bear,451
2022-09-05,Arbitrum,Current Bear,1158
2022-09-12,Arbitrum,Current Bear,393
2022-09-12,Polygon,Current Bear,2226
2022-09-12,Ethereum,Current Bear,5842
2022-09-12,Optimism,Current Bear,479
2022-09-19,Arbitrum,Current Bear,419
2022-09-19,Ethereum,Current Bear,6689
2022-09-19,Polygon,Current Bear,1896
2022-09-19,Optimism,Current Bear,646
2022-09-26,Polygon,Current Bear,1850
2022-09-26,Optimism,Current Bear,674
2022-09-26,Ethereum,Current Bear,7965
2022-09-26,Arbitrum,Current Bear,401
2022-10-03,Polygon,Current Bear,1837
2022-10-03,Optimism,Current Bear,533
2022-10-03,Arbitrum,Current Bear,727
2022-10-03,Ethereum,Current Bear,7647
