PROTOCOLS,TIMESPAN,VOLUME
pancakeswap,2021-03-15,4528817327
uniswap,2021-03-15,7190167954
dodo,2021-03-15,371538553
pancakeswap,2021-03-22,6096236537
sushiswap,2021-03-22,2144967390
dodo,2021-03-22,552010758
sunswap,2021-03-22,1583712698
uniswap,2021-03-22,8657448492
uniswap,2021-03-29,12328794123
sushiswap,2021-03-29,2074898293
pancakeswap,2021-03-29,6552198961
sunswap,2021-03-29,2643080346
dodo,2021-03-29,617952132
uniswap,2021-04-05,8412631198
sunswap,2021-04-05,7173526182
sushiswap,2021-04-05,1941863112
dodo,2021-04-05,717199203
pancakeswap,2021-04-05,10600324696
sunswap,2021-04-12,5400509086
dodo,2021-04-12,1204884599
pancakeswap,2021-04-12,11676044171
spookyswap,2021-04-12,494787
uniswap,2021-04-12,9529807625
sushiswap,2021-04-12,3039971155
sunswap,2021-04-19,4962849464
spookyswap,2021-04-19,16996544
sushiswap,2021-04-19,3672527963
pancakeswap,2021-04-19,18635596822
dodo,2021-04-19,825358932
uniswap,2021-04-19,10581095025
uniswap,2021-04-26,9269395498
spookyswap,2021-04-26,91439197
dodo,2021-04-26,661994559
sunswap,2021-04-26,2093705842
sushiswap,2021-04-26,2590228703
pancakeswap,2021-04-26,11965694274
spookyswap,2021-05-03,140181903
uniswap,2021-05-03,14368054309
pancakeswap,2021-05-03,14672435934
dodo,2021-05-03,635986597
sunswap,2021-05-03,3311708870
sushiswap,2021-05-03,4027774247
pancakeswap,2021-05-10,17789623266
spookyswap,2021-05-10,198821377
sushiswap,2021-05-10,6370796535
sunswap,2021-05-10,2922292772
dodo,2021-05-10,582621382
uniswap,2021-05-10,22950211247
spookyswap,2021-05-17,254439049
pancakeswap,2021-05-17,23830791415
dodo,2021-05-17,1254323529
sushiswap,2021-05-17,11777232125
sunswap,2021-05-17,3973953428
uniswap,2021-05-17,25290945352
spookyswap,2021-05-24,102135979
sunswap,2021-05-24,2467313882
uniswap,2021-05-24,16883783331
sushiswap,2021-05-24,5333127735
pancakeswap,2021-05-24,12375236693
dodo,2021-05-24,800946319
sunswap,2021-05-31,1093687270
spookyswap,2021-05-31,62519369
dodo,2021-05-31,846751574
uniswap,2021-05-31,10561642133
sushiswap,2021-05-31,3386598938
pancakeswap,2021-05-31,6028707298
sushiswap,2021-06-07,4023693409
spookyswap,2021-06-07,59344748
dodo,2021-06-07,1000674007
sunswap,2021-06-07,905577350
pancakeswap,2021-06-07,4943700745
uniswap,2021-06-07,10738339365
sushiswap,2021-06-14,4108343944
spookyswap,2021-06-14,69042353
sunswap,2021-06-14,1082296360
dodo,2021-06-14,950148708
pancakeswap,2021-06-14,4043189951
uniswap,2021-06-14,8724088808
sunswap,2021-06-21,1773479922
dodo,2021-06-21,1031099224
sushiswap,2021-06-21,2546793795
uniswap,2021-06-21,10656386261
spookyswap,2021-06-21,61515347
pancakeswap,2021-06-21,4806308014
dodo,2021-06-28,678672333
sushiswap,2021-06-28,1541154436
uniswap,2021-06-28,11056275111
spookyswap,2021-06-28,39016722
sunswap,2021-06-28,769720836
pancakeswap,2021-06-28,3101633284
sushiswap,2021-07-05,1486167703
sunswap,2021-07-05,694009420
dodo,2021-07-05,601669815
uniswap,2021-07-05,7989908906
spookyswap,2021-07-05,46172054
pancakeswap,2021-07-05,3646266306
spookyswap,2021-07-12,33234534
uniswap,2021-07-12,7683727454
sushiswap,2021-07-12,1368947847
pancakeswap,2021-07-12,3459061994
dodo,2021-07-12,636961046
sunswap,2021-07-12,526001100
sushiswap,2021-07-19,1517409601
sunswap,2021-07-19,574856192
pancakeswap,2021-07-19,3884249799
dodo,2021-07-19,675458801
spookyswap,2021-07-19,32512224
uniswap,2021-07-19,7830210151
pancakeswap,2021-07-26,4850506668
sunswap,2021-07-26,936931018
dodo,2021-07-26,870986796
spookyswap,2021-07-26,46311547
uniswap,2021-07-26,11117627758
sushiswap,2021-07-26,2097977811
pancakeswap,2021-08-02,3968209086
dodo,2021-08-02,867973534
uniswap,2021-08-02,13252658969
sunswap,2021-08-02,1204118130
sushiswap,2021-08-02,2289196971
spookyswap,2021-08-02,55004359
spookyswap,2021-08-09,55955799
pancakeswap,2021-08-09,4709715458
dodo,2021-08-09,912683778
trader joe dex,2021-08-09,6094214
uniswap,2021-08-09,11852104490
sunswap,2021-08-09,1762149746
sushiswap,2021-08-09,2338325694
sunswap,2021-08-16,1513863036
pancakeswap,2021-08-16,5997674704
sushiswap,2021-08-16,2795690419
spookyswap,2021-08-16,156002529
dodo,2021-08-16,949897439
trader joe dex,2021-08-16,153686525
uniswap,2021-08-16,12421807425
pancakeswap,2021-08-23,7612768404
dodo,2021-08-23,709656461
trader joe dex,2021-08-23,961822712
spookyswap,2021-08-23,137470843
sunswap,2021-08-23,1015372592
uniswap,2021-08-23,11475539504
sushiswap,2021-08-23,2191318500
spookyswap,2021-08-30,701822666
sushiswap,2021-08-30,2730857042
pancakeswap,2021-08-30,5957899607
trader joe dex,2021-08-30,835917979
sunswap,2021-08-30,1495945058
uniswap,2021-08-30,13246726566
dodo,2021-08-30,744248445
dodo,2021-09-06,931776254
spookyswap,2021-09-06,981980362
uniswap,2021-09-06,14257309853
sunswap,2021-09-06,1754557844
sushiswap,2021-09-06,3919830262
pancakeswap,2021-09-06,6554097268
trader joe dex,2021-09-06,993188504
pancakeswap,2021-09-13,4977641141
sunswap,2021-09-13,2100657984
sushiswap,2021-09-13,2983123011
uniswap,2021-09-13,10133788704
spookyswap,2021-09-13,441579534
