LIQUIDITY_PROVIDER,ADDED_USD_LIQ,-REMOVED_USD_LIQ,NET_USD_LIQ,ADDED_TOKEN0_USD,-REMOVED_TOKEN0_USD,NET_TOKEN0_USD,ADDED_TOKEN1_USD,-REMOVED_TOKEN1_USD,NET_TOKEN1_USD
0x3c21f1a9daed29d769e81e3e6148b09a336e8b87,37112094.4240315,-8299351.059595,28812743.3644365,8641014.02327398,-8299351.059595,341662.963678982,28471080.4007575,0,28471080.4007575
0x66721b617dfdbca40dbc1a92fb0907abb764235a,28713101.3631594,0,28713101.3631594,15066152.4225606,0,15066152.4225606,13646948.9405988,0,13646948.9405988
0x49a2dcc237a65cc1f412ed47e0594602f6141936,156944533.917469,-128617944.159092,28326589.7583776,90489369.9255786,-68631628.5105426,21857741.415036,66455163.9918908,-59986315.6485492,6468848.3433416
0x04c82c5791bbbdfbdda3e836ccbef567fdb2ea07,2112024968.81506,-2084681632.06787,27343336.7471879,1039354338.94678,-1025875666.10793,13478672.838843,1072670629.86828,-1058805965.95994,13864663.9083447
0xb94d77f829dddc059f0e5a30140116801f3ee47a,496482108.68542,-469700664.245134,26781444.4402861,483466473.81665,-453386277.081938,30080196.7347121,13015634.8687695,-16314387.1631955,-3298752.29442594
0x47441bd9fb3441370cb5b6c4684a0104353aec66,112705884.42466,-85954536.4932387,26751347.9314216,30262906.6289554,-44520786.8971545,-14257880.2681991,82442977.7957049,-41433749.5960842,41009228.1996207
0x0aaefad51c8cd1303aa3054b87bdd6f9a356dfc8,593386228.092581,-567245907.206866,26140320.885715,554499500.374579,-528592779.18543,25906721.1891494,38886727.718002,-38653128.0214363,233599.696565777
0xe9eb7da58f6b5ce5b0a6cfd778a2fa726203aad5,84329059.4714112,-58284579.3417519,26044480.1296593,49467328.2611175,-36565985.6874545,12901342.5736629,34861731.2102937,-21718593.6542974,13143137.5559963
0xcfc50541c3deaf725ce738ef87ace2ad778ba0c5,449573084.723243,-425177268.978926,24395815.7443177,176936570.73082,-160249579.485202,16686991.2456177,272636513.992424,-264927689.493724,7708824.49869996
0x1a68f74f59405dcdb5dc994adab6c1708a3da898,385930554.350389,-361921238.031065,24009316.3193238,107925065.583327,-78476432.1989752,29448633.384352,278005488.767061,-283444805.83209,-5439317.06502837
